farm_id,farm_name,location_area,district,state,pincode,farm_type,cattle_count,buffalo_count,total_animals,main_breed,estimated_daily_milk_litres,products,distribution,monthly_milk_output_litres,estimated_monthly_revenue_inr,farm_size_acres,employees,status,description
DFP1011,Om Dairy Farm,Dhayari,Pune,Maharashtra,411027,Family Dairy Farm,82,0,82,Gir & Sahiwal,825.0,A2 cow milk,Local households,24750.0,165000,3.76,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Dhayari, Pune."
DFP1012,Rajmudra Dairy Farm,Kondhwa,Pune,Maharashtra,411057,Family Dairy Farm,45,16,61,Gir & Sahiwal,585.7,Fresh milk & paneer,Hotels & restaurants,17571.0,140000,1.65,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Kondhwa, Pune."
DFP1013,Shree Swami Dairy Farm,Wagholi,Pune,Maharashtra,411047,Family Dairy Farm,53,15,68,Jersey Cross,506.9,Fresh cow milk,Retail shops,15207.0,235000,7.6,2,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Wagholi, Pune."
DFP1014,Balaji Dairy Farm,Hadapsar,Pune,Maharashtra,412207,A2 Dairy Farm,20,24,44,HF Cross & Jersey,330.5,Cow milk & curd,Direct home delivery,9915.0,225000,7.04,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Hadapsar, Pune."
DFP1015,Morya Dairy Farm,Baner,Pune,Maharashtra,411041,A2 Dairy Farm,81,24,105,Gir & Sahiwal,982.0,Milk & buttermilk,Direct home delivery,29460.0,202000,7.25,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Baner, Pune."
DFP1016,Jai Malhar Dairy Farm,Balewadi,Pune,Maharashtra,411027,Medium Dairy Farm,43,7,50,HF Cross & Jersey,352.4,Cow milk & curd,Local households,10572.0,108000,5.81,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Balewadi, Pune."
DFP1017,Datta Dairy Farm,Kothrud,Pune,Maharashtra,411048,Family Dairy Farm,20,1,21,Gir & Sahiwal,223.1,"Milk, curd & ghee",Retail shops,6693.0,228000,1.49,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Kothrud, Pune."
DFP1018,Shivam Dairy Farm,Kharadi,Pune,Maharashtra,412207,A2 Dairy Farm,72,25,97,Gir,781.6,"Milk, curd & ghee",Local dairy collection center,23448.0,209000,6.98,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Kharadi, Pune."
DFP1019,Pragati Dairy Farm,Lohegaon,Pune,Maharashtra,411057,Medium Dairy Farm,19,12,31,Jersey Cross,294.9,Cow milk & curd,Hotels & restaurants,8847.0,204000,1.55,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Lohegaon, Pune."
DFP1020,Kisan Dairy Farm,Dhanori,Pune,Maharashtra,411023,Small Dairy Farm,71,7,78,HF Cross,816.7,Milk & buttermilk,Hotels & restaurants,24501.0,93000,7.77,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Dhanori, Pune."
DFP1021,Aaradhya Dairy Farm,Shivane,Pune,Maharashtra,411033,Medium Dairy Farm,64,15,79,Sahiwal,714.5,Fresh cow milk,Local dairy collection center,21435.0,157000,7.45,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Shivane, Pune."
DFP1022,Siddhivinayak Dairy Farm,Hingne Khurd,Pune,Maharashtra,411027,A2 Dairy Farm,66,22,88,Jersey Cross,944.0,Cow milk & curd,Direct home delivery,28320.0,145000,7.77,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Hingne Khurd, Pune."
DFP1023,Shetkari Dairy Farm,Mundhwa,Pune,Maharashtra,411047,Medium Dairy Farm,19,1,20,HF Cross,190.2,Fresh milk & paneer,Local households,5706.0,137000,1.01,2,Active,"Synthetic local dairy operation supplying milk and dairy products around Mundhwa, Pune."
DFP1024,Sai A2 Dairy Farm,Vadgaon Sheri,Pune,Maharashtra,411045,Small Dairy Farm,63,3,66,HF Cross & Jersey,730.4,Fresh cow milk,Local dairy collection center,21912.0,258000,4.88,6,Active,"Synthetic local dairy operation supplying milk and dairy products around Vadgaon Sheri, Pune."
DFP1025,Giriraj Dairy Farm,Aundh,Pune,Maharashtra,411015,Medium Dairy Farm,38,21,59,Gir & Sahiwal,521.5,Milk & buttermilk,Direct home delivery,15645.0,207000,2.87,2,Active,"Synthetic local dairy operation supplying milk and dairy products around Aundh, Pune."
DFP1026,Navnath Dairy Farm,Sus,Pune,Maharashtra,411057,Medium Dairy Farm,70,19,89,HF Cross & Jersey,975.3,A2 cow milk,Retail shops,29259.0,179000,7.11,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Sus, Pune."
DFP1027,Anand Dairy Farm,Chakan,Pune,Maharashtra,411041,Small Dairy Farm,48,5,53,Gir & Sahiwal,467.7,Fresh milk & paneer,Direct home delivery,14031.0,259000,1.28,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Chakan, Pune."
DFP1028,Yash Dairy Farm,Manjri,Pune,Maharashtra,411041,Medium Dairy Farm,26,3,29,Gir & Sahiwal,287.0,A2 cow milk,Retail shops,8610.0,252000,6.9,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Manjri, Pune."
DFP1029,Sankalp Dairy Farm,Ambegaon,Pune,Maharashtra,411033,Small Dairy Farm,18,2,20,Gir,194.2,Cow milk & curd,Direct home delivery,5826.0,131000,6.06,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Ambegaon, Pune."
DFP1030,Shree Krishna Dairy Farm,Undri,Pune,Maharashtra,411021,Small Dairy Farm,26,2,28,Gir,308.4,Fresh milk & paneer,Hotels & restaurants,9252.0,127000,3.72,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Undri, Pune."
DFP1031,Bhagyashree Dairy Farm,Tathawade,Pune,Maharashtra,411014,Medium Dairy Farm,58,25,83,Gir & Sahiwal,800.7,Cow milk & curd,Local households,24021.0,180000,6.35,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Tathawade, Pune."
DFP1032,Nandini Dairy Farm,Wakad,Pune,Maharashtra,411015,Small Dairy Farm,42,5,47,Jersey Cross,520.2,Milk & buttermilk,Direct home delivery,15606.0,195000,6.52,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Wakad, Pune."
DFP1033,Trimbak Dairy Farm,Hinjewadi,Pune,Maharashtra,411033,A2 Dairy Farm,32,25,57,Jersey Cross,496.0,Cow milk & curd,Local dairy collection center,14880.0,179000,2.79,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Hinjewadi, Pune."
DFP1034,Swara Dairy Farm,Ravet,Pune,Maharashtra,411047,Small Dairy Farm,15,21,36,Gir,257.7,A2 cow milk,Hotels & restaurants,7731.0,192000,5.6,6,Active,"Synthetic local dairy operation supplying milk and dairy products around Ravet, Pune."
DFP1035,Swarajya Dairy Farm,Punawale,Pune,Maharashtra,411041,Small Dairy Farm,26,8,34,HF Cross,273.8,Fresh milk & paneer,Local dairy collection center,8214.0,178000,5.96,6,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Punawale, Pune."
DFP1036,Green Valley Dairy Farm,Kiwale,Pune,Maharashtra,411041,Small Dairy Farm,77,3,80,Gir & Sahiwal,695.0,"Milk, curd & ghee",Local households,20850.0,223000,7.44,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Kiwale, Pune."
DFP1037,Krushnaai Dairy Farm,Thergaon,Pune,Maharashtra,411045,Family Dairy Farm,67,2,69,Gir & Sahiwal,772.5,Fresh cow milk,Direct home delivery,23175.0,219000,2.82,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Thergaon, Pune."
DFP1038,Jadhav Dairy Farm,Pimpri,Pune,Maharashtra,411015,A2 Dairy Farm,63,22,85,Gir & Sahiwal,655.6,Milk & buttermilk,Retail shops,19668.0,247000,4.77,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Pimpri, Pune."
DFP1039,Patil Dairy Farm,Chinchwad,Pune,Maharashtra,411045,Family Dairy Farm,50,9,59,Sahiwal,471.5,"Milk, curd & ghee",Local dairy collection center,14145.0,144000,4.33,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Chinchwad, Pune."
DFP1040,More Dairy Farm,Bhosari,Pune,Maharashtra,411057,Medium Dairy Farm,48,16,64,Gir & Sahiwal,602.1,A2 cow milk,Retail shops,18063.0,140000,1.61,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Bhosari, Pune."
DFP1041,Deshmukh Dairy Farm,Dhayari,Pune,Maharashtra,411015,Medium Dairy Farm,72,19,91,Gir & Sahiwal,888.7,Milk & buttermilk,Local dairy collection center,26661.0,216000,3.5,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Dhayari, Pune."
DFP1042,Pawar Dairy Farm,Kondhwa,Pune,Maharashtra,411017,A2 Dairy Farm,25,24,49,HF Cross,369.6,Fresh milk & paneer,Retail shops,11088.0,121000,3.92,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Kondhwa, Pune."
DFP1043,Chavan Dairy Farm,Wagholi,Pune,Maharashtra,411015,A2 Dairy Farm,68,19,87,Jersey Cross,889.2,Milk & buttermilk,Local dairy collection center,26676.0,205000,2.44,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Wagholi, Pune."
DFP1044,Shinde Dairy Farm,Hadapsar,Pune,Maharashtra,411057,Family Dairy Farm,78,15,93,Jersey Cross,862.9,A2 cow milk,Direct home delivery,25887.0,171000,7.2,2,Active,"Synthetic local dairy operation supplying milk and dairy products around Hadapsar, Pune."
DFP1045,Kale Dairy Farm,Baner,Pune,Maharashtra,411048,Small Dairy Farm,31,7,38,Sahiwal,312.7,"Milk, curd & ghee",Direct home delivery,9381.0,228000,3.99,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Baner, Pune."
DFP1046,Bhosale Dairy Farm,Balewadi,Pune,Maharashtra,411017,Small Dairy Farm,65,12,77,HF Cross & Jersey,810.2,"Milk, curd & ghee",Local dairy collection center,24306.0,91000,7.57,5,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Balewadi, Pune."
DFP1047,Gaikwad Dairy Farm,Kothrud,Pune,Maharashtra,411045,Medium Dairy Farm,65,17,82,Sahiwal,799.6,Cow milk & curd,Direct home delivery,23988.0,201000,4.14,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Kothrud, Pune."
DFP1048,Mane Dairy Farm,Kharadi,Pune,Maharashtra,411021,Small Dairy Farm,63,23,86,Sahiwal,651.9,Fresh milk & paneer,Hotels & restaurants,19557.0,259000,0.7,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Kharadi, Pune."
DFP1049,Lokmanya Dairy Farm,Lohegaon,Pune,Maharashtra,411048,A2 Dairy Farm,71,5,76,Gir,547.2,A2 cow milk,Local dairy collection center,16416.0,161000,6.14,7,Active,"Synthetic local dairy operation supplying milk and dairy products around Lohegaon, Pune."
DFP1050,Sahyog Dairy Farm,Dhanori,Pune,Maharashtra,411014,Medium Dairy Farm,22,15,37,Gir & Sahiwal,266.7,Fresh cow milk,Local households,8001.0,97000,7.62,4,Active,"Synthetic local dairy operation supplying milk and dairy products around Dhanori, Pune."
